DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,WelcomeText.started,WelcomeText.stopped,WelcomeEscape.keys,WelcomeEscape.rt,WelcomeEscape.started,WelcomeEscape.stopped,PlacementArea.started,PlacementArea.stopped,AvatarMouse.x,AvatarMouse.y,AvatarMouse.leftButton,AvatarMouse.midButton,AvatarMouse.rightButton,AvatarMouse.time,AvatarMouse.started,AvatarMouse.stopped,leftTarget.started,leftTarget.stopped,rightTarget.started,rightTarget.stopped,PlacingKeyboard.keys,PlacingKeyboard.rt,PlacingKeyboard.started,PlacingKeyboard.stopped,AvatarPlace.started,AvatarPlace.stopped,DrivingKeys.keys,DrivingKeys.rt,DrivingKeys.started,DrivingKeys.stopped,text.started,text.stopped,text_2.started,text_2.stopped,DrivingBoundary.started,DrivingBoundary.stopped,AvatarPlaced.started,AvatarPlaced.stopped,AvatarDrive.started,AvatarDrive.stopped,LeftBuild.started,LeftBuild.stopped,RightBuild.started,RightBuild.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,5.69106300000567,None,space,0.6678538999985904,5.69106300000567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Apr_10_1425,simpleIdea,3.1.2,60.01187034053182,
0,0,0,0,,,,,,,6.3820088999927975,None,"[-70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0]","[134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0013999000075273216, 0.010285000025760382, 0.02687210001749918, 0.04349499999079853, 0.06029670004500076, 0.07673239998985082, 0.09409020002931356, 0.11012279998976737, 0.12680299999192357, 0.14344479999272153, 0.1601422000094317, 0.17682930000592023, 0.19354619999649003, 0.2101066000177525, 0.22673210001084954, 0.2434476999915205, 0.26010800001677126, 0.27698820002842695, 0.2933680000132881, 0.3100683999946341, 0.32673090003663674, 0.3433911000029184, 0.3607297000125982, 0.3767929000314325, 0.3936047999886796, 0.4102147000376135, 0.42714149999665096, 0.4436699000070803, 0.4602286000153981, 0.4770681000081822, 0.49362300004577264, 0.5102106000413187, 0.5267755000386387, 0.5440883000264876, 0.5607784000458196, 0.5775405000313185, 0.5942986000445671, 0.6108041999978013, 0.6275338000268675, 0.6445216000429355, 0.6603916000458412, 0.6769191999919713, 0.6937019000179134, 0.7106984000420198]",5.709996912628412e-05,None,6.3820088999927975,None,6.3820088999927975,None,space,0.6969854999915697,6.3820088999927975,None,6.3820088999927975,None,left,0.9511330999666825,7.432153400033712,None,7.101475499977823,7.432153400033712,7.432153400033712,None,7.101475499977823,None,7.101475499977823,None,7.101475499977823,None,7.101475499977823,None,7.101475499977823,None,,001,2020_Apr_10_1425,simpleIdea,3.1.2,60.01187034053182,
1,0,1,0,,,,,,,9.431878000032157,None,"[-70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0]","[134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003595000016503036, 0.011198899999726564, 0.02835340000456199, 0.044683000014629215, 0.061199899995699525, 0.07787149999057874, 0.09473189996788278, 0.11104940000222996, 0.12787480000406504, 0.14459490001900122, 0.1613579000113532, 0.17782869999064133, 0.19474790000822395, 0.21104889997513965, 0.2279969999799505, 0.24462409998523071, 0.26140770001802593, 0.27790649997768924, 0.29508810001425445, 0.311061599990353, 0.32795679999981076, 0.3444666999857873, 0.3610439000185579, 0.3779194999951869, 0.39445249998243526, 0.4110330999828875, 0.4280626000254415, 0.4443731000064872, 0.46101979998638853, 0.47790789999999106, 0.4945772999781184, 0.5111118999775499, 0.5278089999919757, 0.5445474999723956, 0.5614132999908179, 0.5778753000195138, 0.594349000020884, 0.6112600999767892, 0.6278887999942526, 0.6465855999849737, 0.6622936999774538, 0.6788423999678344, 0.695057499979157, 0.7116908999742009, 0.7284395999740809, 0.7449289999785833, 0.7616406999877654]",4.9399968702346087e-05,None,9.431878000032157,None,9.431878000032157,None,space,0.7511155999964103,9.431878000032157,None,9.431878000032157,None,left,1.4659287000540644,10.532684799982235,None,10.209397200029343,10.532684799982235,10.532684799982235,None,10.209397200029343,None,10.209397200029343,None,10.209397200029343,None,10.209397200029343,None,10.209397200029343,None,,001,2020_Apr_10_1425,simpleIdea,3.1.2,60.01187034053182,
2,0,2,0,,,,,,,12.531842600030359,None,"[-70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0]","[134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004653999931178987, 0.011078900017309934, 0.027930400043260306, 0.04426500003319234, 0.06108350004069507, 0.0776602000114508, 0.09448470000643283, 0.1110395000432618, 0.12855190003756434, 0.14532700000563636, 0.16234020004048944, 0.18101020000176504, 0.19967120001092553, 0.21094110002741218, 0.22778750001452863, 0.2442717000376433, 0.2615585000021383, 0.2781306999968365, 0.29485860001295805, 0.3114499000366777, 0.32820640003774315, 0.34522499999729916, 0.3615101000177674, 0.3780440000118688, 0.3948841000092216, 0.41149460000451654, 0.4282604000181891, 0.44582720001926646, 0.46152180002536625, 0.4782161000184715, 0.4947822000249289, 0.5114084000233561, 0.5282857000129297, 0.5448592000175267, 0.5615718000335619, 0.5782119000214152, 0.5947835000115447, 0.611481600033585, 0.6281589000136591, 0.6447173000196926, 0.6619276000419632]",6.400002166628838e-05,None,12.531842600030359,None,12.531842600030359,None,space,0.6432669999776408,12.531842600030359,None,12.531842600030359,None,left,1.3789044000441208,13.53187700000126,None,13.20864419999998,13.53187700000126,13.53187700000126,None,13.20864419999998,None,13.20864419999998,None,13.20864419999998,None,13.20864419999998,None,13.20864419999998,None,,001,2020_Apr_10_1425,simpleIdea,3.1.2,60.01187034053182,
3,0,3,0,,,,,,,15.531834700028412,None,"[-70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0]","[134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0, 134.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00048479996621608734, 0.011585499974898994, 0.02819350000936538, 0.04465599998366088, 0.06163439998636022, 0.07811319996835664, 0.09512610000092536, 0.11145049997139722, 0.12827059999108315, 0.14495250000618398, 0.16192469996167347, 0.17805559997214004, 0.19484389998251572, 0.21153539995430037, 0.22817259997827932, 0.2446555999922566, 0.2618147999746725, 0.27801859995815903, 0.2952287999796681, 0.3113407999626361, 0.32818449998740107, 0.3446791999740526, 0.36150389997055754, 0.37801659997785464, 0.39503219997277483, 0.411461399984546, 0.42860049998853356, 0.444766599975992, 0.46154970000497997, 0.47822659998200834, 0.49486689997138456, 0.5116651999996975, 0.5281574999680743, 0.5448444999638014, 0.5616305999574251, 0.5782624999992549, 0.5948577999952249, 0.6114641999593005, 0.628138999978546]",6.2700011767447e-05,None,15.531834700028412,None,15.531834700028412,None,space,0.6186795000103302,15.531834700028412,None,15.531834700028412,None,left,1.356335600023158,16.49860270001227,None,16.16516849998152,16.49860270001227,16.49860270001227,None,16.16516849998152,None,16.16516849998152,None,16.16516849998152,None,16.16516849998152,None,16.16516849998152,None,,001,2020_Apr_10_1425,simpleIdea,3.1.2,60.01187034053182,
